OCCP - 4 Digit Level,total_working_16
Print Finishers and Screen Printers,3096
Graphic Pre-press Trades Workers,2026
Printers,9506
"Textile, Clothing and Footwear Trades Workers, nfd",51
Canvas and Leather Goods Makers,2128
Clothing Trades Workers,6639
Upholsterers,2409
"Wood Trades Workers, nfd",112
Cabinetmakers,20989
Wood Machinists and Other Wood Trades Workers,3968
"Miscellaneous Technicians and Trades Workers, nfd",150
Boat Builders and Shipwrights,3187
"Chemical, Gas, Petroleum and Power Generation Plant Operators",8169
"Gallery, Library and Museum Technicians",6538
Jewellers,3597
Performing Arts Technicians,11486
Signwriters,5328
Other Miscellaneous Technicians and Trades Workers,16891
"Community and Personal Service Workers, nfd",713
"Health and Welfare Support Workers, nfd",1044
Ambulance Officers and Paramedics,13725
"Dental Hygienists, Technicians and Therapists",6786
Diversional Therapists,4512
Enrolled and Mothercraft Nurses,34231
Indigenous Health Workers,1347
Massage Therapists,14853
Welfare Support Workers,52345
"Carers and Aides, nfd",4245
Child Carers,139595
Education Aides,84132
"Personal Carers and Assistants, nfd",4337
Aged and Disabled Carers,132324
Dental Assistants,21888
Nursing Support and Personal Care Workers,83616
Special Care Workers,2604
"Hospitality Workers, nfd",8687
Bar Attendants and Baristas,83915
Cafe Workers,29521
Gaming Workers,7219
Hotel Service Managers,7247
Waiters,106357
Other Hospitality Workers,5030
"Protective Service Workers, nfd",97
"Defence Force Members, Fire Fighters and Police, nfd",188
Defence Force Members - Other Ranks,15510
Fire and Emergency Workers,13418
Police,51914
"Prison and Security Officers, nfd",72
Prison Officers,15132
Security Officers and Guards,45525
"Sports and Personal Service Workers, nfd",135
"Personal Service and Travel Workers, nfd",137
Beauty Therapists,25413
Driving Instructors,4997
Funeral Workers,3535
"Gallery, Museum and Tour Guides",5921
Personal Care Consultants,5003
Tourism and Travel Advisers,21357
Travel Attendants,9104
Other Personal Service Workers,12873
"Sports and Fitness Workers, nfd",345
Fitness Instructors,27234
Outdoor Adventure Guides,1960
"Sports Coaches, Instructors and Officials",38021
Sportspersons,8850
"Clerical and Administrative Workers, nfd",3172
"Office Managers and Program Administrators, nfd",1748
"Contract, Program and Project Administrators",108041
"Office and Practice Managers, nfd",102
Office Managers,115647
Practice Managers,21171
